LotArea,LotShape,BldgType,YearBuilt,Neighborhood,YearRemodAdd,Heating,TtlHouseSF,FullBath,HalfBath,BedroomAbvGr,Fireplaces,GarageType,GarageCars,PavedDrive,PoolArea,DateSold,SalePrice
8450,Reg,1Fam,2003,CollgCr,2003,GasA,2566,2,1,3,0,Attchd,2,Y,0,2008-2-1,208500
9600,Reg,1Fam,1976,Veenker,1976,GasA,2524,2,0,3,1,Attchd,2,Y,0,2007-5-1,181500
11250,IR1,1Fam,2001,CollgCr,2002,GasA,2706,2,1,3,1,Attchd,2,Y,0,2008-9-1,223500
9550,IR1,1Fam,1915,Crawfor,1970,GasA,2473,1,0,3,1,Detchd,3,Y,0,2006-2-1,140000
14260,IR1,1Fam,2000,NoRidge,2000,GasA,3343,2,1,4,1,Attchd,3,Y,0,2008-12-1,250000
14115,IR1,1Fam,1993,Mitchel,1995,GasA,2158,1,1,1,0,Attchd,2,Y,0,2009-10-1,143000
10084,Reg,1Fam,2004,Somerst,2005,GasA,3380,2,0,3,1,Attchd,2,Y,0,2007-8-1,307000
10382,IR1,1Fam,1973,NWAmes,1973,GasA,3197,2,1,3,2,Attchd,2,Y,0,2009-11-1,200000
6120,Reg,1Fam,1931,OldTown,1950,GasA,2726,2,0,2,2,Detchd,2,Y,0,2008-4-1,129900
7420,Reg,2fmCon,1939,BrkSide,1950,GasA,2068,1,0,2,2,Attchd,1,Y,0,2008-1-1,118000
11200,Reg,1Fam,1965,Sawyer,1965,GasA,2080,1,0,3,0,Detchd,1,Y,0,2008-2-1,129500
11924,IR1,1Fam,2005,NridgHt,2006,GasA,3499,3,0,4,2,BuiltIn,3,Y,0,2006-7-1,345000
12968,IR2,1Fam,1962,Sawyer,1962,GasA,1824,1,0,2,0,Detchd,1,Y,0,2008-9-1,144000
10652,IR1,1Fam,2006,CollgCr,2007,GasA,2988,2,0,3,1,Attchd,3,Y,0,2007-8-1,279500
10920,IR1,1Fam,1960,NAmes,1960,GasA,2506,1,1,2,1,Attchd,1,Y,0,2008-5-1,157000
6120,Reg,1Fam,1929,BrkSide,2001,GasA,1686,1,0,2,0,Detchd,2,Y,0,2007-7-1,132000
11241,IR1,1Fam,1970,NAmes,1970,GasA,2008,1,0,2,1,Attchd,2,Y,0,2010-3-1,149000
10791,Reg,Duplex,1967,Sawyer,1967,GasA,1296,2,0,2,0,CarPort,2,Y,0,2006-10-1,90000
13695,Reg,1Fam,2004,SawyerW,2004,GasA,2228,1,1,3,0,Detchd,2,Y,0,2008-6-1,159000
7560,Reg,1Fam,1958,NAmes,1965,GasA,2368,1,0,3,0,Attchd,1,Y,0,2009-5-1,139000
14215,IR1,1Fam,2005,NridgHt,2006,GasA,3534,3,1,4,1,BuiltIn,3,Y,0,2006-11-1,325300
7449,Reg,1Fam,1930,IDOTRR,1950,GasA,1745,1,0,3,1,Attchd,1,N,0,2007-6-1,139400
9742,Reg,1Fam,2002,CollgCr,2002,GasA,3572,2,0,3,1,Attchd,2,Y,0,2008-9-1,230000
4224,Reg,TwnhsE,1976,MeadowV,1976,GasA,2100,1,0,3,1,Attchd,2,Y,0,2007-6-1,129900
8246,IR1,1Fam,1968,Sawyer,2001,GasA,2120,1,0,3,1,Attchd,1,Y,0,2010-5-1,154000
14230,Reg,1Fam,2007,NridgHt,2007,GasA,3166,2,0,3,1,Attchd,3,Y,0,2009-7-1,256300
7200,Reg,1Fam,1951,NAmes,2000,GasA,1800,1,0,3,0,Detchd,2,Y,0,2010-5-1,134800
11478,Reg,1Fam,2007,NridgHt,2008,GasA,3408,2,0,3,1,Attchd,3,Y,0,2010-5-1,306000
16321,IR1,1Fam,1957,NAmes,1997,GasA,3084,1,0,2,2,Attchd,1,Y,0,2006-12-1,207500
6324,IR1,1Fam,1927,BrkSide,1950,GasA,1040,1,0,1,0,Detchd,1,Y,0,2008-5-1,68500
8544,IR1,1Fam,1966,Sawyer,2006,GasA,2456,1,1,3,0,Attchd,1,Y,0,2008-6-1,149350
11049,Reg,1Fam,2007,CollgCr,2007,GasA,2468,2,0,3,0,Attchd,2,Y,0,2008-1-1,179900
10552,IR1,1Fam,1959,NAmes,1959,GasA,3098,1,1,4,1,Attchd,2,Y,0,2010-4-1,165500
7313,Reg,TwnhsE,2005,NridgHt,2005,GasA,3122,2,0,2,1,Attchd,2,Y,0,2007-8-1,277500
13418,Reg,1Fam,2004,NridgHt,2005,GasA,3569,3,1,4,1,BuiltIn,3,Y,0,2006-9-1,309000
10859,Reg,1Fam,1994,CollgCr,1995,GasA,2194,1,1,3,0,Attchd,2,Y,0,2009-6-1,145000
8532,Reg,1Fam,1954,NAmes,1990,GasA,2594,1,0,3,1,Attchd,2,Y,0,2009-10-1,153000
7922,Reg,1Fam,1953,NAmes,2007,GasA,2114,1,0,3,0,Detchd,1,Y,0,2010-1-1,109000
6040,Reg,Duplex,1955,Edwards,1955,GasA,1152,2,0,2,0,NA,0,N,0,2008-6-1,82000
8658,Reg,1Fam,1965,NAmes,1965,GasA,2412,2,0,3,1,Attchd,2,Y,0,2006-12-1,160000
16905,Reg,1Fam,1959,Timber,1959,GasA,2678,1,1,2,2,Attchd,1,P,0,2007-7-1,170000
9180,IR1,1Fam,1983,SawyerW,1983,GasA,1724,1,0,2,0,Attchd,2,Y,0,2007-12-1,144000
9200,IR1,1Fam,1975,CollgCr,1980,GasA,1876,1,0,3,0,Detchd,1,Y,0,2008-7-1,130250
7945,Reg,1Fam,1959,NAmes,1959,GasA,2300,1,0,3,0,Attchd,1,Y,0,2006-5-1,141000
7658,Reg,TwnhsE,2005,NridgHt,2005,GasA,3504,2,0,2,1,Attchd,2,Y,0,2010-2-1,319900
12822,IR1,1Fam,2003,Mitchel,2003,GasA,3583,1,1,1,1,Attchd,2,Y,0,2009-8-1,239686
4456,Reg,2fmCon,1920,OldTown,2008,GasA,2188,2,0,2,0,NA,0,N,0,2009-6-1,113000
7742,Reg,1Fam,1966,Sawyer,1966,GasA,1910,1,0,3,0,Attchd,1,Y,0,2007-1-1,127000
13869,IR2,1Fam,1997,Gilbert,1997,GasA,2264,2,0,3,0,Attchd,2,Y,0,2007-7-1,177000
6240,Reg,1Fam,1934,BrkSide,1950,GasA,1992,1,0,3,1,Detchd,2,Y,0,2006-9-1,114500
8472,IR2,Duplex,1963,IDOTRR,1963,GasA,1632,1,0,2,0,CarPort,2,Y,0,2010-5-1,110000
7134,Reg,1Fam,1955,NAmes,1955,GasA,1744,1,0,3,1,Detchd,2,Y,0,2007-2-1,130000
10175,IR1,1Fam,1964,NAmes,1964,GasA,2850,2,0,3,1,Attchd,2,Y,0,2008-7-1,180500
11645,IR1,1Fam,2004,CollgCr,2004,GasA,2580,2,1,3,0,Attchd,2,Y,0,2006-8-1,196500
13682,IR2,1Fam,2006,StoneBr,2006,GasA,4355,3,1,3,1,BuiltIn,3,Y,0,2006-10-1,438780
7200,Reg,1Fam,1972,CollgCr,1972,GasA,1560,1,0,2,0,Detchd,1,Y,0,2008-1-1,124900
13072,Reg,1Fam,2004,SawyerW,2004,GasA,2316,1,1,3,0,Detchd,2,Y,0,2006-5-1,158000
7200,Reg,1Fam,1920,IDOTRR,1996,GasA,1641,1,0,3,0,Detchd,1,N,0,2007-3-1,101000
6442,IR1,TwnhsE,2006,NridgHt,2006,GasA,2740,2,0,2,1,Attchd,2,Y,0,2007-10-1,202500
10300,IR1,1Fam,1921,OldTown,1950,GasA,2286,2,0,3,0,Detchd,2,Y,0,2010-4-1,140000
9375,Reg,1Fam,1997,CollgCr,1998,GasA,3091,2,1,3,0,Attchd,2,Y,0,2009-2-1,219500
9591,Reg,1Fam,2004,NridgHt,2005,GasA,3616,2,1,4,1,BuiltIn,3,Y,0,2007-10-1,317000
19900,Reg,1Fam,1970,NAmes,1989,GasA,4154,2,0,3,1,Attchd,2,Y,0,2010-7-1,180000
10665,IR1,1Fam,2003,CollgCr,2003,GasA,2932,2,0,3,0,Attchd,2,Y,0,2007-6-1,226000
4608,Reg,1Fam,1945,OldTown,1950,GasA,1494,1,0,2,0,Attchd,1,Y,0,2010-6-1,80000
15593,Reg,1Fam,1953,ClearCr,1953,GasW,3591,2,0,3,1,Attchd,2,Y,0,2006-7-1,225000
13651,IR1,1Fam,1973,NAmes,1973,GasA,4446,2,0,3,2,Attchd,2,Y,0,2007-2-1,244000
7599,Reg,1Fam,1982,Mitchel,2006,GasA,1690,1,0,2,0,Detchd,2,Y,0,2007-6-1,129500
10141,IR1,1Fam,1998,Gilbert,1998,GasA,2550,2,1,3,1,Attchd,2,Y,0,2009-12-1,185000
10200,Reg,1Fam,1954,NAmes,2003,GasA,2172,1,0,3,0,Attchd,2,Y,0,2010-5-1,144900
5790,Reg,1Fam,1915,OldTown,1950,GasA,2445,2,0,3,0,Detchd,1,Y,0,2010-5-1,107400
1596,Reg,Twnhs,1973,MeadowV,1973,GasA,1450,1,0,2,0,BuiltIn,1,Y,0,2009-11-1,91000
8475,IR1,1Fam,1956,NAmes,1956,GasA,1904,1,0,2,0,Detchd,1,Y,0,2008-4-1,135750
8635,Reg,1Fam,1948,BrkSide,2001,GasA,1957,1,0,2,0,Detchd,1,Y,0,2008-1-1,127000
10778,Reg,Duplex,1968,Sawyer,1968,GasA,3536,2,0,4,0,NA,0,Y,0,2010-4-1,136500
10440,Reg,1Fam,1910,OldTown,1981,GasA,1670,1,1,2,0,Detchd,2,Y,0,2009-5-1,110000
13000,Reg,1Fam,1968,NAmes,1968,GasA,3038,2,1,4,1,Attchd,1,Y,0,2009-6-1,193500
4500,Reg,TwnhsE,1998,Mitchel,1998,GasA,2574,2,0,2,0,Attchd,2,Y,0,2006-3-1,153500
10206,Reg,1Fam,2007,Somerst,2007,GasA,3126,2,0,3,1,Attchd,3,Y,0,2008-10-1,245000
8892,IR1,1Fam,1960,NAmes,1960,GasA,2130,1,1,3,0,Detchd,2,Y,0,2007-7-1,126500
8530,IR1,1Fam,1995,Gilbert,1996,GasA,1858,2,1,3,1,BuiltIn,2,Y,0,2009-5-1,168500
16059,Reg,1Fam,1991,NoRidge,1992,GasA,3705,2,1,4,1,Attchd,2,Y,0,2006-4-1,260000
11911,IR2,1Fam,2005,Gilbert,2005,GasA,2244,2,1,3,1,BuiltIn,2,Y,0,2009-3-1,174000
8070,Reg,1Fam,1994,CollgCr,1995,GasA,1980,1,0,3,0,NA,0,Y,0,2007-8-1,123600
7200,Reg,1Fam,1950,NAmes,1950,GasA,1040,1,0,2,0,Detchd,2,Y,0,2006-7-1,109900
8500,Reg,1Fam,1961,NAmes,1961,GasA,2470,1,0,2,0,Attchd,2,Y,0,2006-12-1,98600
13360,IR1,1Fam,1921,Crawfor,2006,GasA,1840,1,0,2,0,Detchd,2,Y,0,2009-8-1,163500
9337,IR1,1Fam,1997,CollgCr,1997,GasA,2610,2,1,3,0,Attchd,2,Y,0,2007-5-1,204750
9765,IR2,1Fam,1993,Gilbert,1993,GasA,2150,2,1,3,1,BuiltIn,2,Y,0,2009-4-1,185000
10264,IR1,1Fam,1999,CollgCr,1999,GasA,3176,2,0,3,0,Attchd,2,Y,0,2006-8-1,214000
10921,Reg,1Fam,1965,Edwards,1965,GasA,1920,1,0,3,0,Attchd,1,P,0,2007-5-1,94750
10625,Reg,1Fam,1920,Edwards,1950,GasA,1293,1,0,2,0,Basment,1,Y,0,2010-5-1,83000
9320,IR1,1Fam,1959,NAmes,1959,GasA,2175,1,1,3,0,NA,0,Y,0,2010-1-1,128950
10603,IR1,1Fam,1977,NWAmes,2001,GasA,3220,2,0,3,2,Attchd,2,Y,0,2010-2-1,205000
9206,Reg,1Fam,1985,SawyerW,1985,GasA,2473,2,1,3,1,Attchd,2,Y,0,2010-6-1,178000
7018,Reg,Duplex,1979,SawyerW,1979,GasA,1535,2,0,4,0,Attchd,2,Y,0,2009-6-1,118964
10402,IR1,1Fam,2009,CollgCr,2009,GasA,2452,2,0,3,0,Attchd,3,Y,0,2010-5-1,198900
7758,Reg,1Fam,1931,IDOTRR,1950,GasA,2858,1,1,4,2,Detchd,1,Y,0,2007-6-1,169500
10800,Reg,1Fam,1885,OldTown,1995,GasA,1688,1,0,2,0,Detchd,1,N,0,2007-8-1,100000
